State,M: source,T: source,S: source
AL,https://insurealabama.adph.state.al.us/ ,https://one.alabama.gov/ ,https://mydhr.alabama.gov/
AK,,,https://health.alaska.gov/dpa/Pages/SNAP/Online-SNAP-Application.aspx
AZ,,,
AR,,,
CA,,,
CO,,,
CT,,,
DE,,,
FL,,,
GA,,,
HI,,,
ID,,,
IL,,,
IN,,,
IA,,,
KS,,,
KY,,,
LA,,,
ME,,,
MD,,,
MA,,,
MI,,,
MN,,,
MS,,,
MO,,,
MT,,,
NE,,,
NV,,,
NH,,,
NJ,,,
NM,,,
NY,,,
NC,,,
ND,,,
OH,,,
OK,,,
OR,,,
PA,,,
RI,,,
SC,,,
SD,,,
TN,,,
TX,,,
UT,,,
VT,,,
VA,,,
WA,,,
WV,,,
WI,,,
WY,,,
