State,M: Take up rate,M: Time to complete,M: Online application,M: Mobile accessible,M: Integration with other programs,T: Take up rate,T: Time to complete,T: Online application,T: Mobile accessible,T: Integration with other programs,S: Time to complete,S: Online application,S: Mobile accessible,S: Integration with other programs
AL,102%,30,Yes,No,No,24%,Unknown,Yes,Yes,No,25,Yes,Yes,No
AK,82%,35,Yes,No,No,16%,Unknown,No,No,No,Unknown,Yes,Yes,No
AZ,69%,45*,Yes,No,"SNAP, TANF",14%,45*,Yes,No,"Medicaid, SNAP",45*,Yes,No,"Medicaid, TANF"
AR,75%,30,Yes,No,No,15%,35*,Yes,No,SNAP,35*,Yes,No,TANF
CA,79%,30*,Yes,Yes,"SNAP, TANF",61%,30*,Yes,Yes,"Medicaid, SNAP",30*,Yes,Yes,"Medicaid, TANF"
CO,81%,35*,Yes,Yes,"SNAP, TANF",25%,35*,Yes,Yes,"Medicaid, SNAP",35*,Yes,Yes,"Medicaid, TANF"
CT,75%,No info,Yes,No,No,39%,65*,Yes,No,SNAP,65*,Yes,No,TANF
DE,104%,90*,Yes,No,"SNAP, TANF",33%,90*,Yes,No,"Medicaid, SNAP",90*,Yes,No,"Medicaid, TANF"
FL,86%,120*,Yes,No,"SNAP, TANF",17%,120*,Yes,No,"Medicaid, SNAP",120*,Yes,No,"Medicaid, TANF"
GA,79%,60*,Yes,Yes,"SNAP, TANF",8%,60*,Yes,Yes,"Medicaid, SNAP",60*,Yes,Yes,"Medicaid, TANF"
HI,75%,No info,Yes,No,No,25%,Unknown,Yes,Unknown,SNAP,Unknown,Yes,Unknown,TANF
ID,76%,35,Yes,No,No,4%,Unknown,No,No,SNAP,Unknown,No,No,TANF
IL,86%,40*,Yes ,No,"SNAP, TANF",22%,40*,Yes ,No,"Medicaid, SNAP",40*,Yes ,No,"Medicaid, TANF"
IN,91%,60*,Yes,No,"SNAP, TANF",17%,60*,Yes,No,"Medicaid, SNAP",60*,Yes,No,"Medicaid, TANF"
IA,76%,30,Yes,No,No,48%,20*,Yes,No,SNAP,20*,Yes,No,TANF
KS,59%,60,Yes,No,No,30%,60*,Yes,No,SNAP,60*,Yes,No,TANF
KY,79%,50*,Yes,No,"SNAP, TANF",31%,50*,Yes,No,"Medicaid, SNAP",50*,Yes,No,"Medicaid, TANF"
LA,84%,35,Yes,Yes,No,10%,35*,Yes,No,SNAP ,35*,Yes,No,TANF
ME,75%,45*,Yes,Yes,"SNAP, TANF",92%,45*,Yes,Yes,"Medicaid, SNAP",45*,Yes,Yes,"Medicaid, TANF"
MD,82%,35*,Yes,Yes,"SNAP, TANF",29%,35*,Yes,Yes,"Medicaid, SNAP",35*,Yes,Yes,"Medicaid, TANF"
MA,64%,35,Yes,Yes,No,41%,10,Yes,Yes,No,20,Yes,Yes,No
MI,86%,20*,Yes,Yes,"SNAP, TANF",26%,20*,Yes,Yes,"Medicaid, SNAP",20*,Yes,Yes,"Medicaid, TANF"
MN,48%,50,Yes,No,No,36%,60*,Yes,No ,SNAP,60*,Yes,No ,TANF
MS,84%,30*,Yes,Yes,"SNAP, TANF",15%,30*,Yes,Yes,"Medicaid, SNAP",30*,Yes,Yes,"Medicaid, TANF"
MO,87%,20,Yes,Yes,No,35%,40*,Yes,Yes,SNAP,40*,Yes,Yes,TANF
MT,46%,30*,Yes,Yes,"SNAP, TANF",16%,30*,Yes,Yes,"Medicaid, SNAP",30*,Yes,Yes,"Medicaid, TANF"
NE,68%,40*,Yes,No,"SNAP, TANF",22%,40*,Yes,No,"Medicaid, SNAP",40*,Yes,No,"Medicaid, TANF"
NV,63%,25*,Yes,Yes,"SNAP, TANF",16%,25*,Yes,Yes,"Medicaid, SNAP",25*,Yes,Yes,"Medicaid, TANF"
NH,62%,30*,Yes,Yes,"SNAP, TANF",67%,30*,Yes,Yes,"Medicaid, SNAP",30*,Yes,Yes,"Medicaid, TANF"
NJ,75%,15,Yes,No,No,32%,45*,Yes,No,SNAP,45*,Yes,No,TANF
NM,102%,45*,Yes,Yes,"SNAP, TANF",34%,45*,Yes,Yes,"Medicaid, SNAP",45*,Yes,Yes,"Medicaid, TANF"
NY,68%,30*,Yes,Yes,"SNAP, TANF",38%,Unkown,Yes,Yes,"Medicaid, SNAP",30*,Yes,Yes,"Medicaid, TANF"
NC,70%,15*,Yes,No ,"SNAP, TANF",9%,Unknown,Yes,Yes,"Medicaid, SNAP",15*,Yes,No ,"Medicaid, TANF"
ND,63%,45*,Yes,No,"SNAP, TANF",14%,45*,Yes,No,"Medicaid, SNAP",45*,Yes,No,"Medicaid, TANF"
OH,104%,30*,Yes,No,"SNAP, TANF",33%,30*,Yes,No,"Medicaid, SNAP",30*,Yes,No,"Medicaid, TANF"
OK,92%,30*,Yes,Yes,"SNAP, TANF",11%,30*,Yes,Yes,"Medicaid, SNAP",30*,Yes,Yes,"Medicaid, TANF"
OR,83%,50,Yes,Yes,No,63%,30*,Yes,Yes,SNAP,30*,Yes,Yes,TANF
PA,89%,20*,Yes,No,"SNAP, TANF",36%,20*,Yes,No,"Medicaid, SNAP",20*,Yes,No,"Medicaid, TANF"
RI,58%,60*,Yes,Yes,"SNAP, TANF",33%,60*,Yes,Yes,"Medicaid, SNAP",60*,Yes,Yes,"Medicaid, TANF"
SC,82%,30,Yes,No,No,12%,30*,Yes,No,SNAP,30*,Yes,No,TANF
